,donorID,donate_7662,probability
0,134242,0.0,0.2834701415906729
1,126503,0.0,0.4188111327997864
2,104392,1.0,0.5420892409219117
3,105905,0.0,0.48038639344474304
4,120506,0.0,0.23609108485449995
5,128540,1.0,0.5716680186370576
6,126159,0.0,0.4447678583507201
7,141462,1.0,0.6982464845219972
8,140682,1.0,0.7859592769788033
9,133551,1.0,0.7408911453432916
10,102019,0.0,0.4980966335938835
11,105175,1.0,0.506914674810581
12,111013,1.0,0.9707335174678438
13,144019,1.0,0.8054446021145165
14,131199,0.0,0.26993310327455705
15,142468,0.0,0.38475873460434534
16,121937,1.0,0.8082407148885097
17,107681,0.0,0.21159685322271982
18,113805,1.0,0.6982464845219972
19,112360,1.0,0.6357048376242537
20,114420,0.0,0.4280515523300366
21,135378,0.0,0.26247676725548824
22,138381,0.0,0.4280515523300366
23,133011,0.0,0.4716715206686351
24,136120,0.0,0.41087408016001215
25,105054,0.0,0.20006715930872165
26,110537,0.0,0.2693621718106049
27,143137,1.0,0.6604751777187983
28,133273,0.0,0.4324477946279416
29,124016,1.0,0.5595421863064357
30,109613,1.0,0.6438339746923181
31,125090,0.0,0.4194384119352153
32,134162,0.0,0.21159685322271982
33,102042,1.0,0.6754938938017158
34,136934,0.0,0.3855219569168656
35,126262,1.0,0.59396960185699
36,113933,1.0,0.9067195248770902
37,119380,0.0,0.24251192456796122
38,100249,1.0,0.5318312256638555
39,117440,1.0,0.5245323837153478
40,131283,0.0,0.26247676725548824
41,139543,0.0,0.1890150893356312
42,111228,1.0,0.8082407148885097
43,135548,0.0,0.20577218153298077
44,104585,0.0,0.38491177140919086
45,102087,1.0,0.8082407148885097
46,126860,0.0,0.3129814732344043
47,120710,1.0,0.7200648997872846
48,142371,0.0,0.25589405452237735
49,125901,0.0,0.35209400057693974
50,132052,1.0,0.6602938263414235
51,110640,0.0,0.2980156325488809
52,121011,1.0,0.7577854897065474
53,110607,0.0,0.32061579597718964
54,112443,0.0,0.2652154061632356
55,110218,1.0,0.5595421863064357
56,110015,0.0,0.20577218153298077
57,127700,1.0,0.7128997992356956
58,114247,1.0,0.6192160312269587
59,122641,0.0,0.37659511914711524
60,123227,1.0,0.5682165038062528
61,103057,0.0,0.21754124057945007
62,138110,0.0,0.15402949900493954
63,103992,0.0,0.20577218153298077
64,139274,0.0,0.2693621718106049
65,133143,0.0,0.32061579597718964
66,140608,1.0,0.6518810487317634
67,137320,1.0,0.7949366233803421
68,120195,1.0,0.5854351858194342
69,144652,0.0,0.3361730666332825
70,135074,1.0,0.6024476329149584
71,120797,1.0,0.7056262784773726
72,137241,1.0,0.5531004216429254
73,123448,0.0,0.3932962167210801
74,127181,0.0,0.16344818614517495
75,143400,1.0,0.5981427455801405
76,133585,0.0,0.26247676725548824
77,129281,0.0,0.22978867504010883
78,106420,0.0,0.20577218153298077
79,120310,0.0,0.4194384119352153
80,100875,0.0,0.43607481109378243
81,129379,0.0,0.3283473375623063
